CosmeticCategory,ColorDescription,SKU,ProductDetails,ProductSize,ProductCategory,RetailPrice,,
Sweets,"Warm, tangerine with pink undertones",40210BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Tart,"Cool, light pink",40150BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Candlelight luminizer,Pale pink with rainbow flecks,30130BR,Loose Mineral Powder,4,Bronzer,30,28.5,"Loose, micronized mineral powders with an exceptional silky texture. These powders form a protective barrier on the skin, which promotes healing, while allowing the skin to breathe. Key ingredients: titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Daylight luminizer,Soft gold with gold flecks,30140BR,Loose Mineral Powder,4,Bronzer,30,28.5,"Loose, micronized mineral powders with an exceptional silky texture. These powders form a protective barrier on the skin, which promotes healing, while allowing the skin to breathe. Key ingredients: titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Glow bronzer,Cool,30110BR,Loose Mineral Powder,4,Bronzer,30,28.5,"Loose, micronized mineral powders with an exceptional silky texture. These powders form a protective barrier on the skin, which promotes healing, while allowing the skin to breathe. Key ingredients: titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Moonlight luminizer,Pale beige with rainbow flecks,30120BR,Loose Mineral Powder,4,Bronzer,30,28.5,"Loose, micronized mineral powders with an exceptional silky texture. These powders form a protective barrier on the skin, which promotes healing, while allowing the skin to breathe. Key ingredients: titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Sun bronzer,Warm,30100BR,Loose Mineral Powder,4,Bronzer,30,28.5,"Loose, micronized mineral powders with an exceptional silky texture. These powders form a protective barrier on the skin, which promotes healing, while allowing the skin to breathe. Key ingredients: titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Blue Nile,"Neutral, icy blue with pearl undertones",60170ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Brandy,"Warm, medium-brown with gold",60180ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Brindle,"Warm, light golden brown",60190ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Candy Apple,"Warm, peach with pink-gold",60200ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Carnival,"Neutral, pale pink with light peach",60210ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Cool Blue Illusion,"Cool, pale blue",60220ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Dusk,"Warm, deep charcoal with silver-gold",60230ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Galaxy,"Cool, grey charcoal",60240ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Geisha,"Neutral, mint green with gold undertones",60250ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Golden Taupe,"Neutral, medium brown-gold",60260ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Grey Illusion,"Neutral, grey with multi-dimensional gold",60270ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Gun Shy,"Cool, deep gunmetal grey",60280ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Holiday,"Cool, medium plum-pink",60290ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Ingot,"Warm, pale gold",60300ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Ink,"Cool, blackened blue",60310ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Lake,"Cool, blue with silver undertones",60320ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Lime Illusion,"Cool, honeydew with gold undertones",60330ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Linen,"Neutral, sandy beige with gold undertones",60340ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Magic,"Cool, medium silver-grey",60350ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Mosaic,"Neutral, warm pink-gold",60360ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Oyster,"Neutral, light taupe with silver",60370ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Pink Lemonade,"Neutral, pink peach",60380ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Princess,"Neutral, pale pink with gold",60390ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Rain,"Cool, golden taupe-grey",60400ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Raspberry,"Cool, bright pink-plum",60410ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Sable,"Warm, deep brown with gold",60420ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Smash,"Cool, purple with silver",60430ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Star,"Cool, icy pearl-white",60440ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Truffle,"Cool, taupe with golden-pink",60450ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Twilight,"Neutral, medium purple with glitter",60460ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Violet Illusion,"Cool, pale lavender with pearl",60470ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Wink,"Cool, periwinkle",60480ES,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Bisque,"Neutral, pale beige",50140EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Blush,"Cool, medium pink",50220EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Chamois,"Warm, pale yellow",50130EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Charcoal,"Cool, medium grey",50170EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Cinnamon,"Warm, medium honey-brown",50250EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Clove,"Warm, medium brown",50290EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Coal,"Cool, blackened brown",50300EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Coffee,"Warm, medium brown",50270EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Creamy Peach,"Neutral, peach-pink",50100EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Forest,"Neutral, deep, hazel green",50190EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Jade Suede,"Warm, muted, jade green",50160EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Mocha Latte,"Warm, medium brown-grey",50230EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Navy,"Cool, deep steel blue",50280EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Peach Suede,"Warm, muted peach",50150EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Plum,"Cool, medium plum-purple",50260EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Rose Silk,"Cool, muted rose",50200EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Taupe,"Neutral, medium taupe",50240EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Toffee,"Neutral, peachy tan",50210EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Vanilla,"Cool, pale buttery-yellow",50120EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Wheat,"Neutral, beige with a hint of yellow",50110EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
Wine,"Cool, deep berry",50180EM,Loose Mineral Powder,2.5,Eyeshadow,20,18.99,Loose mineral eyeshadows are made from the same micronized minerals as our foundations and blushes. They are crease resistant and long lasting. Choose from an abundance of shades in matte or shimmer formulas.
